date,sltb,sltb_dh_098,sltb_mua_098,sltb_mua_191_098,sltb_mua_myviettel_098,sltb_dh_101,sltb_mua_101,sltb_mua_191_101,sltb_mua_myviettel_101,sltb_dh_102
4/2/2026,99999,8987,1501,1442,59,0,0,0,0,0
4/3/2026,99999,12543,2963,2818,145,0,0,0,0,0
4/4/2026,99999,15701,4367,4146,221,0,0,0,0,0
4/5/2026,99999,18800,5752,5448,304,0,0,0,0,0
4/6/2026,99999,21413,7054,6664,390,0,0,0,0,0
4/7/2026,99999,23601,8193,7749,444,0,0,0,0,0
4/8/2026,99999,25692,9256,8772,484,0,0,0,0,0
4/9/2026,99999,27806,10609,10067,542,2965,1799,1456,343,1410
4/10/2026,99999,29004,11742,11173,569,5950,3346,2927,419,2043
4/11/2026,99999,30277,13855,13224,631,8545,4662,4182,480,2950
4/12/2026,99999,32646,15823,15137,686,10803,5869,5334,535,3681
4/13/2026,99999,34634,17569,16839,730,12815,6854,6268,586,4388
4/14/2026,99999,36359,19020,18251,769,14594,7687,7061,626,5013
4/15/2026,99999,37955,20343,19536,807,16210,8414,7721,693,5748
4/16/2026,99999,39446,21573,20737,836,17729,9058,8308,750,6341
4/17/2026,99999,40751,22722,21908,864,19126,9716,8921,795,6856
4/18/2026,99999,41954,23856,22959,897,20366,10312,9476,836,7319
4/19/2026,99999,43187,25011,24090,921,21513,10936,10054,882,7747
4/20/2026,99999,44294,25990,25046,944,22467,11610,10667,943,8109
4/21/2026,99999,45204,26839,25871,968,23342,12127,11132,995,8454
4/22/2026,99999,46074,27633,26642,991,24145,12547,11515,1032,9045
4/23/2026,99999,46927,28422,27416,1006,24911,13247,12129,1118,9678
4/24/2026,99999,47717,29149,28110,1039,25639,13708,12533,1175,10321
4/25/2026,99999,48412,29889,28835,1054,26346,14136,12916,1220,10900
4/26/2026,99999,49209,30682,29604,1078,27040,14558,13293,1265,11464
